
Cycle 1
Physical Cycle 1
Step 1

Time (s),          Potential (V),         Current (A)
0.104999996722     0.002318999963     -0.000000152852     
0.209999993443     0.007619999815     -0.000000141388     
0.314999997616     0.012755000032     -0.000000129925     
0.419999986887     0.018055999652     -0.000000118461     
0.449999988079     0.028161000460     -0.000000099451     
0.555000007153     0.033461999148     -0.000000090585     
0.660000026226     0.038598001003     -0.000000082490     
0.764999985695     0.043898999691     -0.000000075166     
0.795000016689     0.054003998637     -0.000000060961     
0.899999976158     0.059138998389     -0.000000053903     
1.004999995232     0.064439997077     -0.000000047223     
1.110000014305     0.069741003215     -0.000000041509     
1.215000033379     0.075042001903     -0.000000035543     
1.320000052452     0.080343000591     -0.000000028695     
1.424999952316     0.085478000343     -0.000000022897     
1.529999971390     0.090778999031     -0.000000017561     
1.634999990463     0.096079997718     -0.000000011806     
1.745000004768     0.102209001780     -0.000000005294     
1.850000023842     0.107344999909     0.000000000220     
1.955000042915     0.112645998597     0.000000005324     
2.059999942780     0.117780998349     0.000000011115     
2.164999961853     0.123081997037     0.000000017129     
2.269999980927     0.128216996789     0.000000022032     
2.375000000000     0.133517995477     0.000000027254     
2.480000019073     0.138653993607     0.000000033370     
2.585000038147     0.143955007195     0.000000039191     
2.690000057220     0.149256005883     0.000000044610     
2.795000076294     0.154391005635     0.000000050909     
2.900000095367     0.159526005387     0.000000057132     
3.005000114441     0.164827004075     0.000000062687     
3.109999895096     0.170128002763     0.000000069008     
3.214999914169     0.175263002515     0.000000076248     
3.319999933243     0.180564001203     0.000000082743     
3.380000114441     0.189510002732     0.000000095202     
3.484999895096     0.194811001420     0.000000102344     
3.589999914169     0.199946001172     0.000000109318     
3.694999933243     0.205246999860     0.000000117133     
3.799999952316     0.210547998548     0.000000124737     
3.904999971390     0.215848997235     0.000000131585     
4.010000228882     0.221149995923     0.000000138685     
4.114999771118     0.226450994611     0.000000146836     
4.219999790192     0.231585994363     0.000000154020     
4.324999809265     0.236886993051     0.000000160448     
4.429999828339     0.242188006639     0.000000167254     
4.534999847412     0.247489005327     0.000000173514     
4.639999866486     0.252790004015     0.000000178850     
4.744999885559     0.257925003767     0.000000184606     
4.849999904633     0.263226002455     0.000000190361     
4.954999923706     0.268527001143     0.000000194647     
5.059999942780     0.273827999830     0.000000198470     
5.164999961853     0.278964012861     0.000000202965     
5.269999980927     0.284265011549     0.000000206999     
5.375000000000     0.289566010237     0.000000210486     
